site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,60555,2020-01-22,2018,11090203,Canadian R.,4,OK520810-00-0030D_4,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,526,14,1,6,1,0.996197719,0.001901141,0.0,0,5,1,5,3,1,1,1,17,0.747252747,Fair,,Blue Thumb,2020-01-22,True
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,60618,2020-01-22,2018,11090203,Canadian R.,4,OK520810-00-0030D_4,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,578,15,1,7,1,0.939446367,0.005190311,0.055363322,0,5,1,5,3,1,1,1,17,0.747252747,Fair,,Blue Thumb,2020-01-22,True
Hog Creek,OK520810-00-0030D,OK520810000030_00,35.3195,-97.2497,60192,2020-01-22,2018,11090203,Canadian R.,4,OK520810-00-0030D_4,482070,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,125.0154,WWAC,206,14,1,5,2,0.990291262,0.004854369,0.0,0,5,1,5,5,1,1,1,19,0.835164835,Good,,Blue Thumb,2020-01-22,True
Honey Creek: Berry Bluff,OK121600-03-0445J,OK621200050250_00,36.54222222,-97.71052778,25850,2002-08-27,2002,11060006,Arkansas R.,1,OK121600-03-0445J_1,20968660,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,11.664,WWAC,730,24,5,7,8,0.083561644,0.564383562,0.838356164,0,5,5,5,5,5,5,5,35,1.563896336,Excellent,,Blue Thumb,2002-08-27,True
Honey Creek: Needham,OK121600-03-0445N,OK121600030445_00,36.54430556,-94.68819444,30959,2004-08-18,2004,11070206,Arkansas R.,1,OK121600-03-0445N_1,7583213,Neosho-Grand,Ozark Highlands,Ozark Highlands,150.2127,CWAC,361,17,5,5,9,0.024930748,0.750692521,0.969529086,0,5,5,5,5,5,5,5,35,1.03950104,Excellent,,Blue Thumb,2004-08-18,True
Jimmy Creek: Prose,OK311300-01-0400C,OK311300040100_00,34.7864,-98.58164,38166,2007-08-08,2007,11130202,Upper Red R.,2,OK311300-01-0400C_2,673246,Washita-Red,Wichita Mountains,Wichita Mountains,29.6118,WWAC,153,8,2,4,1,0.444444444,0.006535948,0.549019608,0,3,3,5,5,1,1,5,23,0.884615385,Good,,Blue Thumb,2007-08-08,True
Jimmy Creek: Prose,OK311300-01-0400C,OK311300040100_00,34.7864,-98.58164,53883,2014-05-27,2014,11130202,Upper Red R.,3,OK311300-01-0400C_3,673246,Washita-Red,Wichita Mountains,Wichita Mountains,29.6118,WWAC,661,6,3,2,1,0.155824508,0.0,0.844175492,0,3,5,3,5,3,1,5,25,0.961538462,Excellent,,Blue Thumb,2014-05-27,True
Lake Creek: Winter Smith Bridge,OK410400-04-0010X,OK410400040010_00,34.75786,-96.65497,49148,2011-07-28,2011,11140104,Lower Red R.,2,OK410400-04-0010X_2,6066250,L Red,Arkansas Valley,Arkansas Valley,5.1489,WWAC,945,14,0,7,1,0.91005291,0.005291005,0.003174603,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2011-07-28,True
Lake Creek: Winter Smith Bridge,OK410400-04-0010X,OK410400040010_00,34.75786,-96.65497,55732,2015-08-05,2015,11140104,Lower Red R.,3,OK410400-04-0010X_3,6066250,L Red,Arkansas Valley,Arkansas Valley,5.1489,WWAC,258,9,0,5,0,0.825581395,0.0,0.0,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2015-08-05,True
Lariat Creek: E 940 (American Horse Road),OK520620-01-0060T,OK520620010060_00,35.65265,-98.427367,44190,2009-06-18,2009,11090201,Canadian R.,2,OK520620-01-0060T_2,5266364,U Canadian,Central Great Plains,Central Great Plains,15.9678,WWAC,16,3,0,2,0,1.0,0.0,0.0,0,1,1,3,1,1,1,1,9,0.402144772,Very Poor,,Blue Thumb,2009-06-18,True
Little Beaver Creek: E 0030 Road,OK621210-00-0080T,OK621210000080_00,36.96991667,-96.81088889,31144,2004-09-07,2004,11060001,Arkansas R.,1,OK621210-00-0080T_1,21037919,Cimarron-Upper Arkansas,Flint Hills,Flint Hills,56.2914,WWAC,227,14,2,4,0,0.678414097,0.022026432,0.273127753,0,5,3,5,1,1,1,3,19,0.730769231,Fair,,Blue Thumb,2004-09-07,True
Little Deep Fork (2): N 3650,OK520700-06-0010P,OK520700060130_10,35.81188889,-96.512,29125,2003-08-15,2003,11100303,Canadian R.,1,OK520700-06-0010P_1,535589,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,166.1004,WWAC,174,8,0,4,0,0.977011494,0.0,0.022988506,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2003-08-15,True
Little Horse Creek,OK121600-03-0190G,OK121600030190_00,36.6977,-94.9093,56996,2018-01-29,2016,11070206,Arkansas R.,4,OK121600-03-0190G_4,7583451,Neosho-Grand,Ozark Highlands,Ozark Highlands,50.4144,WWAC,1225,13,3,6,0,0.230204082,0.0,0.763265306,0,5,3,5,1,3,1,5,23,0.711413548,Fair,,Blue Thumb,2018-01-29,True
Little Horse Creek,OK121600-03-0190G,OK121600030190_00,36.6977,-94.9093,65648,2021-07-14,2021,11070206,Arkansas R.,5,OK121600-03-0190G_5,7583451,Neosho-Grand,Central Irregular Plains,,16.14819036,WWAC,596,14,2,6,0,0.0,0.05033557,0.360738255,0,3,3,5,1,5,1,5,23,0.982905983,Excellent,A,Blue Thumb,2021-07-14,True
Little Horse Creek,OK121600-03-0190G,OK121600030190_00,36.6977,-94.9093,65648,2021-07-14,2021,11070206,Arkansas R.,5,OK121600-03-0190G_5,7583451,Neosho-Grand,Central Irregular Plains,,16.14819036,WWAC,596,14,2,6,0,0.286912752,0.05033557,0.360738255,0,3,3,5,1,1,1,5,19,0.811965812,Good,B,Blue Thumb,2021-07-14,True
Little Mountain Trib. of Mountain Creek: N 4660,OK220100-01-0190M,OK220100010270_00,35.02475,-94.73568333,38162,2007-08-02,2007,11110105,Arkansas R.,2,OK220100-01-0190M_2,6040904,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,22.2174,WWAC,602,14,5,5,3,0.199335548,0.058139535,0.181063123,0,3,3,5,3,3,1,3,21,0.777777778,Good,,Blue Thumb,2007-08-02,True
Little Mountain Trib. of Mountain Creek: N 4660,OK220100-01-0190M,OK220100010270_00,35.02475,-94.73568333,49160,2011-08-09,2011,11110105,Arkansas R.,3,OK220100-01-0190M_3,6040904,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,22.2174,WWAC,247,12,3,4,2,0.133603239,0.117408907,0.546558704,0,3,3,3,3,3,1,5,21,0.777777778,Good,,Blue Thumb,2011-08-09,True
Little Polecat Creek: Jones,OK120420-02-0260M,OK120420020260_00,35.96593,-96.247663,48220,2010-06-17,2010,11110101,Arkansas R.,2,OK120420-02-0260M_2,373045,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,10.9683,WWAC,181,5,0,5,0,1.0,0.0,0.0,0,1,1,5,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2010-06-17,True
Little River: SW 34th Street,OK520810-00-0080T,OK520810000080_00,35.3053,-97.4868,53891,2014-07-07,2014,11090203,Canadian R.,3,OK520810-00-0080T_3,482064,Arkansas-Canadian,Central Great Plains,Central Great Plains,13.2831,WWAC,625,14,2,5,1,0.7968,0.2016,0.0016,0,5,5,5,5,1,3,1,25,1.117068811,Excellent,,Blue Thumb,2014-07-07,True
Little River: SW 34th Street,OK520810-00-0080T,OK520810000080_00,35.3053,-97.4868,60212,2018-07-19,2018,11090203,Canadian R.,4,OK520810-00-0080T_4,482064,Arkansas-Canadian,Central Great Plains,Central Great Plains,13.2831,WWAC,632,13,1,6,0,0.759493671,0.181962025,0.058544304,0,5,3,5,1,1,1,1,17,0.759606792,Fair,,Blue Thumb,2018-07-19,True
Little Sandy Creek: Chamber Loop,OK520600-03-0020W,OK520600030020_00,34.7829722,-96.6724722,36255,2006-09-20,2006,11090202,Canadian R.,2,OK520600-03-0020W_2,6029742,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,6.2316,WWAC,842,2,0,0,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.259259259,Very Poor,,Blue Thumb,2006-09-20,True
Little Sandy Creek: Chamber Loop,OK520600-03-0020W,OK520600030020_00,34.7829722,-96.6724722,48217,2006-09-20,2010,11090202,Canadian R.,2,OK520600-03-0020W_2,6029742,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,6.2316,WWAC,225,1,0,0,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.259259259,Very Poor,,Blue Thumb,2006-09-20,True
Little Sandy Creek: Chamber Loop,OK520600-03-0020W,OK520600030020_00,34.78297,-96.67247,55731,2015-08-04,2015,11090202,Canadian R.,3,OK520600-03-0020W_3,6029742,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,6.2316,WWAC,1092,1,0,0,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.259259259,Very Poor,,Blue Thumb,2015-08-04,True
Little Sandy Creek: Hwy 99,OK520600-03-0020C,OK520600030020_00,34.84261,-96.686,36256,2010-07-22,2006,11090202,Canadian R.,2,OK520600-03-0020C_2,6029368,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,44.8956,WWAC,690,15,3,6,1,0.62173913,0.352173913,0.013043478,0,3,3,5,1,1,3,1,17,0.62962963,Fair,,Blue Thumb,2010-07-22,True
Little Sandy Creek: Hwy 99,OK520600-03-0020C,OK520600030020_00,34.84261,-96.686,48326,2010-07-22,2010,11090202,Canadian R.,2,OK520600-03-0020C_2,6029368,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,44.8956,WWAC,1066,16,2,5,1,0.881801126,0.040337711,0.072232645,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2010-07-22,True
Little Sandy Creek: Hwy 99,OK520600-03-0020C,OK520600030020_00,34.84261,-96.686,63591,2020-06-11,2020,11090202,Canadian R.,4,OK520600-03-0020C_4,6029368,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,44.8956,WWAC,2383,19,2,5,1,0.68862778,0.199328577,0.088124213,0,5,1,5,1,1,1,1,15,0.555555556,Poor,,Blue Thumb,2020-06-11,True
Little Stillwater Creek: Hwy 51 (Diamond Valley Church),OK620900-04-0050M,OK620900040050_00,36.11693,-96.94492,44198,2009-06-30,2009,11050003,Cimarron R.,2,OK620900-04-0050M_2,493564,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,37.1394,WWAC,486,20,2,7,1,0.96090535,0.00617284,0.0,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2009-06-30,True
Little Wewoka Creek,OK520500-02-0090D,OK520500020090_00,35.2318,-96.2957,28043,2004-01-21,2003,11100302,Canadian R.,1,OK520500-02-0090D_1,418307,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,164.0142,WWAC,268,8,0,5,0,0.936567164,0.0,0.059701493,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2004-01-21,True
Little Wewoka Creek,OK520500-02-0090D,OK520500020090_00,35.2318,-96.2957,40698,2010-01-11,2008,11100302,Canadian R.,2,OK520500-02-0090D_2,418307,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,164.0142,WWAC,587,14,3,5,2,0.780238501,0.161839864,0.056218058,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2010-01-11,True
Little Wewoka Creek,OK520500-02-0090D,OK520500020090_00,35.2318,-96.2957,52138,2014-10-13,2013,11100302,Canadian R.,3,OK520500-02-0090D_3,418307,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,164.0142,WWAC,477,13,2,5,2,0.888888889,0.014675052,0.094339623,0,3,3,5,5,1,1,1,19,0.835164835,Good,,Blue Thumb,2014-10-13,True
Little Wewoka Creek,OK520500-02-0090D,OK520500020090_00,35.2318,-96.2957,60209,2020-01-21,2018,11100302,Canadian R.,4,OK520500-02-0090D_4,418307,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,164.0142,WWAC,648,17,2,8,1,0.759259259,0.050925926,0.145061728,0,5,3,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2020-01-21,True
Little Wewoka Creek,OK520500-02-0090D,OK520500020090_00,35.2318,-96.2957,60186,2020-01-21,2018,11100302,Canadian R.,4,OK520500-02-0090D_4,418307,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,164.0142,WWAC,542,17,3,6,2,0.861623616,0.001845018,0.121771218,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2020-01-21,True
Lost Creek,OK121600-03-0560D,OK121600030560_00,36.80327778,-94.71455556,25678,2001-09-19,2001,11070206,Arkansas R.,1,OK121600-03-0560D_1,7583433,Neosho-Grand,Ozark Highlands,Ozark Highlands,239.6745,CWAC,406,23,8,6,8,0.197044335,0.467980296,0.679802956,0,5,5,5,5,3,5,5,33,0.98010098,Excellent,,Blue Thumb,2001-09-19,True
Lost Creek: Woody,OK620900-03-0090C,OK620900030090_00,35.97655,-97.00729,44188,2009-06-15,2009,11050003,Cimarron R.,2,OK620900-03-0090C_2,494820,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,46.008,WWAC,1197,19,3,6,1,0.927318296,0.020885547,0.050125313,0,5,5,5,3,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2009-06-15,True
Lost Creek: Woody,OK620900-03-0090C,OK620900030090_00,35.97655,-97.00729,44228,2009-06-15,2009,11050003,Cimarron R.,2,OK620900-03-0090C_2,494820,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,46.008,WWAC,1443,18,3,5,1,0.701316701,0.285516286,0.004158004,0,5,5,5,3,1,3,1,23,1.010989011,Excellent,,Blue Thumb,2009-06-15,True
Medicine Creek: Apache (Stayer),OK311300-04-0060G,OK311300040060_00,34.7778055,-98.6106388,38165,2007-08-07,2007,11130202,Upper Red R.,2,OK311300-04-0060G_2,673264,Washita-Red,Wichita Mountains,Wichita Mountains,112.2642,WWAC,211,11,4,4,1,0.303317536,0.241706161,0.085308057,0,5,5,5,5,1,3,1,25,0.961538462,Excellent,,Blue Thumb,2007-08-07,True
Medicine Creek: Apache (Stayer),OK311300-04-0060G,OK311300040060_00,34.7778055,-98.6106388,53898,2014-08-16,2014,11130202,Upper Red R.,3,OK311300-04-0060G_3,673264,Washita-Red,Wichita Mountains,Wichita Mountains,112.2642,WWAC,417,12,2,6,0,0.652278177,0.007194245,0.326139089,0,5,3,5,1,1,1,3,19,0.730769231,Fair,,Blue Thumb,2014-08-16,True
Merkle Creek: Brooks Street,OK520610-01-0200G,OK520610010200_00,35.2075,-97.47969,49699,2012-06-28,2012,11090202,Canadian R.,3,OK520610-01-0200G_3,6026188,U Canadian,Central Great Plains,Central Great Plains,22.2966,WWAC,365,4,0,3,0,1.0,0.0,0.0,0,1,1,5,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2012-06-28,True
Middle Creek: Buzzard Roost Ranch,OK220600-01-0190M,OK220600010190_00,35.17027,-96.05408,51681,2013-07-25,2013,11090204,Canadian R.,3,OK220600-01-0190M_3,513841,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,54.7515,WWAC,61,10,2,6,1,0.770491803,0.0,0.196721311,0,3,1,5,1,1,1,3,15,0.555555556,Poor,,Blue Thumb,2013-07-25,True
Middle Creek: Buzzard Roost Ranch,OK220600-01-0190M,OK220600010190_00,35.17027,-96.05408,51656,2013-07-25,2013,11090204,Canadian R.,3,OK220600-01-0190M_3,513841,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,54.7515,WWAC,236,20,2,9,3,0.711864407,0.042372881,0.233050847,0,5,1,5,3,1,1,3,19,0.703703704,Fair,,Blue Thumb,2013-07-25,True
Middle Creek: Buzzard Roost Ranch,OK220600-01-0190M,OK220600010190_00,35.17027,-96.05408,60206,2018-07-02,2018,11090204,Canadian R.,4,OK220600-01-0190M_4,513841,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,54.7515,WWAC,163,15,1,7,1,0.791411043,0.036809816,0.116564417,0,3,1,5,1,1,1,1,13,0.481481481,Poor,,Blue Thumb,2018-07-02,True
Mill Creek: McClure Park,OK121300-01-0050G,OK121300010050_00,36.14972222,-95.891,25846,2002-08-19,2002,11070107,Arkansas R.,1,OK121300-01-0050G_1,847350,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,12.5046,WWAC,6,1,0,1,0,1.0,0.0,0.0,0,1,1,1,1,1,1,1,7,0.299145299,Very Poor,,Blue Thumb,2002-08-19,True
Mill Creek: McClure Park,OK121300-01-0050G,OK121300010050_00,36.14972222,-95.891,37911,2007-07-23,2007,11070107,Arkansas R.,2,OK121300-01-0050G_2,847350,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,12.5046,WWAC,7,3,0,3,0,1.0,0.0,0.0,0,1,1,3,1,1,1,1,9,0.384615385,Very Poor,,Blue Thumb,2007-07-23,True
Mill Creek: North Daube Ranch Road,OK310800-01-0190R,OK310800010190_00,34.38125,-96.839361,48239,2010-07-21,2010,11130304,Washita R.,2,OK310800-01-0190R_2,430064,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,171.7083,WWAC,443,16,4,5,4,0.27765237,0.09255079,0.636568849,0,5,5,5,5,1,1,5,27,1.186813187,Excellent,,Blue Thumb,2010-07-21,True
Mingo Creek: 46th Street North,OK121300-01-0030C,OK121300010030_00,36.2203333,-95.8577777,30961,2004-08-25,2004,11070107,Arkansas R.,1,OK121300-01-0030C_1,847336,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,157.8096,WWAC,166,16,3,4,1,0.403614458,0.024096386,0.301204819,0,5,3,3,1,1,1,3,17,0.726495726,Fair,,Blue Thumb,2004-08-25,True
Mingo Creek: 46th Street North,OK121300-01-0030C,OK121300010030_00,36.2203333,-95.8577777,38171,2007-08-17,2007,11070107,Arkansas R.,2,OK121300-01-0030C_2,847336,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,157.8096,WWAC,471,17,4,6,1,0.259023355,0.006369427,0.481953291,0,5,5,5,1,1,1,5,23,0.982905983,Excellent,,Blue Thumb,2007-08-17,True
Mingo Creek: 46th Street North,OK121300-01-0030C,OK121300010030_00,36.22033,-95.85778,56753,2016-08-24,2016,11070107,Arkansas R.,4,OK121300-01-0030C_4,847336,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,157.8096,WWAC,363,15,3,5,1,0.162534435,0.008264463,0.443526171,0,5,3,5,1,3,1,5,23,0.982905983,Excellent,,Blue Thumb,2016-08-24,True
Minnehaha Creek: Canton,OK520530-00-0190C,OK520530000190_00,36.05155,-98.5857,44196,2009-06-26,2009,11100301,Canadian R.,2,OK520530-00-0190C_2,389910,Arkansas-Canadian,Central Great Plains,Central Great Plains,57.5361,WWAC,180,6,0,1,0,0.977777778,0.022222222,0.0,0,3,1,1,1,1,1,1,9,0.402144772,Very Poor,,Blue Thumb,2009-06-26,True
Mooser Creek: Pepsi,OK120420-01-0070B,OK120420010070_00,36.08558333,-95.999,29123,2003-08-06,2003,11110101,Arkansas R.,1,OK120420-01-0070B_1,368161,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.0302,WWAC,247,11,1,5,0,0.599190283,0.0,0.400809717,0,3,1,5,1,1,1,5,17,0.747252747,Fair,,Blue Thumb,2003-08-06,True
Mooser Creek: Pepsi,OK120420-01-0070B,OK120420010070_00,36.08558333,-95.999,35740,2006-06-15,2006,11110101,Arkansas R.,2,OK120420-01-0070B_2,368161,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.0302,WWAC,321,6,1,3,0,0.62305296,0.0,0.37694704,0,1,1,3,1,1,1,5,13,0.571428571,Poor,,Blue Thumb,2006-06-15,True
Mooser Creek: Pepsi,OK120420-01-0070B,OK120420010070_00,36.08558333,-95.999,48226,2006-06-15,2010,11110101,Arkansas R.,2,OK120420-01-0070B_2,368161,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.0302,WWAC,772,10,1,5,0,0.67357513,0.0,0.32642487,0,3,1,5,1,1,1,3,15,0.659340659,Fair,,Blue Thumb,2006-06-15,True
Mooser Creek: Pepsi,OK120420-01-0070B,OK120420010070_00,36.08558,-95.999,55663,2015-06-29,2015,11110101,Arkansas R.,3,OK120420-01-0070B_3,368161,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.0302,WWAC,264,7,1,3,0,0.602272727,0.0,0.397727273,0,3,1,3,1,1,1,5,15,0.659340659,Fair,,Blue Thumb,2015-06-29,True
Mooser Creek: Pepsi,OK120420-01-0070B,OK120420010070_00,36.08558,-95.999,63596,2020-07-08,2020,11110101,Arkansas R.,4,OK120420-01-0070B_4,368161,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,13.0302,WWAC,346,9,3,5,0,0.751445087,0.0,0.239884393,0,3,5,5,1,1,1,3,19,0.835164835,Good,,Blue Thumb,2020-07-08,True
Mooser Creek: South Haven,OK120420-01-0070P,OK120420010070_00,36.0809,-96.0377,29122,2003-08-04,2003,11110101,Arkansas R.,1,OK120420-01-0070P_1,368769,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,4.8762,WWAC,36,3,1,1,0,0.25,0.0,0.75,0,1,1,1,1,3,1,5,13,0.571428571,Poor,,Blue Thumb,2003-08-04,True
Morris Creek: Gillham,OK220100-01-0170F,OK220100010170_00,34.952414,-94.618087,60617,2018-08-02,2018,11110105,Arkansas R.,4,OK220100-01-0170F_4,6044482,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,43.1262,WWAC,535,23,6,6,5,0.392523364,0.052336449,0.547663551,0,5,5,5,5,1,1,5,27,1.0,Excellent,,Blue Thumb,2018-08-02,True
Mountain Creek: D 4655 (Kennedy Bridge),OK220100-01-0190K,OK220100010190_00,35.00553,-94.74896,49161,2011-08-09,2011,11110105,Arkansas R.,3,OK220100-01-0190K_3,6056052,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,78.8931,WWAC,673,18,2,6,2,0.632986627,0.188707281,0.249628529,0,5,1,5,3,1,1,3,19,0.703703704,Fair,,Blue Thumb,2011-08-09,True
Mountain Creek: E 1400 Road (Shiloh Crossing),OK220100-01-0190G,OK220100010190_00,34.98558,-94.74335,49162,2011-08-10,2011,11110105,Arkansas R.,3,OK220100-01-0190G_3,6047532,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,81.3042,WWAC,738,15,3,6,2,0.845528455,0.001355014,0.100271003,0,3,3,5,3,1,1,1,17,0.62962963,Fair,,Blue Thumb,2011-08-10,True
Mud Creek: E 2170 Road,OK410200-01-0210E,OK410200010210_00,33.8665666,-94.72015,33818,2005-09-01,2005,11140107,Little R.,1,OK410200-01-0210E_1,618890,L Red,South Central Plains,South Central Plains,57.3777,WWAC,271,17,5,2,4,0.228782288,0.612546125,0.47601476,0,5,5,3,5,3,5,5,31,1.24,Excellent,,Blue Thumb,2005-09-01,True
Mud Creek: E 2170 Road,OK410200-01-0210E,OK410200010210_00,33.8665666,-94.72015,48470,2011-06-28,2011,11140107,Little R.,2,OK410200-01-0210E_2,618890,L Red,South Central Plains,South Central Plains,57.3777,WWAC,228,20,4,5,5,0.333333333,0.355263158,0.171052632,0,5,5,5,5,1,3,1,25,1.0,Excellent,,Blue Thumb,2011-06-28,True
Mustang Creek: Morgan Road,OK520520-00-0240G,OK520520000240_00,35.43913889,-97.68863889,32952,2005-06-20,2005,11100301,Canadian R.,1,OK520520-00-0240G_1,393370,Arkansas-Canadian,Central Great Plains,Central Great Plains,81.5733,WWAC,659,13,1,5,1,0.93323217,0.06676783,0.0,0,5,3,5,5,1,1,1,21,0.938337802,Excellent,,Blue Thumb,2005-06-20,True
Mustang Creek: Morgan Road,OK520520-00-0240G,OK520520000240_00,35.43913889,-97.68863889,44218,2009-07-17,2009,11100301,Canadian R.,2,OK520520-00-0240G_2,393370,Arkansas-Canadian,Central Great Plains,Central Great Plains,81.5733,WWAC,339,9,0,5,0,0.982300885,0.002949853,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2009-07-17,True
Mustang Creek: Morgan Road,OK520520-00-0240G,OK520520000240_00,35.43914,-97.68864,62318,2019-07-09,2019,11100301,Canadian R.,4,OK520520-00-0240G_4,393370,Arkansas-Canadian,Central Great Plains,Central Great Plains,81.5733,WWAC,663,10,0,4,0,0.484162896,0.515837104,0.0,0,5,1,5,1,1,5,1,19,0.848972297,Good,,Blue Thumb,2019-07-09,True
Nickel Creek: 91st Street,OK120420-02-0040G,OK120420020040_00,36.0319,-96.0284,35738,2006-06-14,2006,11110101,Arkansas R.,2,OK120420-02-0040G_2,368845,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,30.0996,WWAC,431,13,4,6,2,0.909512761,0.004640371,0.030162413,0,3,5,5,5,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2006-06-14,True
Nickel Creek: 91st Street,OK120420-02-0040G,OK120420020040_00,36.0319,-96.0284,48227,2006-06-14,2010,11110101,Arkansas R.,2,OK120420-02-0040G_2,368845,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,30.0996,WWAC,947,17,5,5,3,0.818373812,0.05279831,0.098204857,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2006-06-14,True
Nickel Creek: 91st Street,OK120420-02-0040G,OK120420020040_00,36.0319,-96.0284,55747,2015-08-17,2015,11110101,Arkansas R.,3,OK120420-02-0040G_3,368845,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,30.0996,WWAC,608,15,4,6,2,0.748355263,0.039473684,0.108552632,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2015-08-17,True
North Fork Creek: Estates Park Bridge,OK520810-00-0170R,OK520810000170_00,35.333024,-97.459137,49698,2012-06-27,2012,11090203,Canadian R.,3,OK520810-00-0170R_3,481868,Arkansas-Canadian,Central Great Plains,Central Great Plains,10.3059,WWAC,659,11,1,5,0,0.634294385,0.115326252,0.250379363,0,5,3,5,1,1,1,3,19,0.848972297,Good,,Blue Thumb,2012-06-27,True
Northeast Creek: Metro Tech,OK520710-02-0110P,OK520710020110_00,35.511583,-97.478173,60208,2018-07-09,2018,11100303,Canadian R.,4,OK520710-02-0110P_4,533277,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,4.3848,WWAC,106,7,0,4,0,1.0,0.0,0.0,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2018-07-09,True
Panther Creek: Hwy 49,OK311310-02-0150G,OK311310020150_00,34.7246944,-98.6734444,33823,2005-09-26,2005,11130203,Upper Red R.,1,OK311310-02-0150G_1,573038,Washita-Red,Central Great Plains,Central Great Plains,18.837,WWAC,107,6,0,5,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2005-09-26,True
