Site_Name,Date,do_percent,pH,Nitrate,Nitrite,Ammonia,Phosphorus,Chloride,Year,Month,soluble_nitrogen
Mountain Creek: E 1400 Road (Shiloh Crossing),2010-10-25,101.0,7.5,,,0.1,0.007,15.0,2010,10,0.43
Mountain Creek: E 1400 Road (Shiloh Crossing),2010-11-29,81.0,7.0,,,0.1,0.007,15.0,2010,11,0.43
Mountain Creek: E 1400 Road (Shiloh Crossing),2011-01-18,89.0,7.5,1.0,,0.1,0.007,15.0,2011,1,1.13
Mountain Creek: E 1400 Road (Shiloh Crossing),2011-03-29,80.0,7.5,,,0.1,0.007,20.0,2011,3,0.43
Mountain Creek: E 1400 Road (Shiloh Crossing),2011-05-24,82.0,7.1,,,0.1,0.007,5.0,2011,5,0.43
Mountain Fork: Goat's Head,2011-11-11,65.0,5.5,,0.1,0.1,0.033333333,25.0,2011,11,0.5
Mountain Fork: Goat's Head,2012-12-08,106.0,5.5,0.5,,0.1,0.02,10.0,2012,12,0.63
Mud Creek: E 2170 Road,2005-08-18,53.0,7.5,1.0,,0.03,0.007,60.0,2005,8,1.06
Mud Creek: E 2170 Road,2005-09-19,50.0,6.75,5.0,0.03,0.03,0.6,60.0,2005,9,5.06
Mud Creek: E 2170 Road,2005-10-24,74.0,7.0,5.0,0.03,0.03,0.33,60.0,2005,10,5.06
Mud Creek: E 2170 Road,2005-11-30,46.0,6.75,1.0,0.03,0.03,1.07,70.0,2005,11,1.06
Mud Creek: E 2170 Road,2006-01-17,87.0,7.0,1.0,0.15,0.03,0.313,45.0,2006,1,1.18
Mud Creek: E 2170 Road,2006-06-23,40.0,7.0,0.5,0.08,0.1,0.3,45.0,2006,6,0.68
Mud Creek: E 2170 Road,2006-07-26,34.0,7.5,1.0,0.08,0.2,0.7,60.0,2006,7,1.28
Mud Creek: E 2170 Road,2006-08-14,37.0,7.25,1.0,0.08,0.2,1.03,70.0,2006,8,1.28
Mud Creek: E 2170 Road,2006-09-14,70.0,7.5,5.0,0.15,0.1,0.87,75.0,2006,9,5.25
Mud Creek: E 2170 Road,2006-10-12,62.0,7.5,0.5,0.08,0.1,0.933,70.0,2006,10,0.68
Mud Creek: E 2170 Road,2006-11-16,55.0,7.0,1.0,0.08,0.1,0.4,30.0,2006,11,1.18
Mud Creek: E 2170 Road,2006-12-15,87.0,7.0,2.0,0.08,0.1,0.27,25.0,2006,12,2.18
Mud Creek: E 2170 Road,2007-01-19,105.0,7.0,0.5,0.08,0.2,0.06,25.0,2007,1,0.78
Mud Creek: E 2170 Road,2007-05-18,83.0,7.0,2.0,0.08,0.1,0.13,40.0,2007,5,2.18
Mud Creek: E 2170 Road,2007-06-23,110.0,7.0,2.0,0.08,0.1,0.53,35.0,2007,6,2.18
Mud Creek: E 2170 Road,2007-08-01,110.0,7.25,2.0,0.15,0.1,0.53,35.0,2007,8,2.25
Mud Creek: E 2170 Road,2007-08-24,75.0,7.0,0.5,0.08,0.1,0.57,45.0,2007,8,0.68
Mud Creek: E 2170 Road,2007-09-28,70.0,7.0,0.5,0.08,0.1,0.57,35.0,2007,9,0.68
Mud Creek: E 2170 Road,2007-10-31,75.0,7.5,1.0,0.08,0.1,0.53,30.0,2007,10,1.18
Mud Creek: E 2170 Road,2007-11-28,59.0,7.0,1.0,0.15,0.2,0.43,25.0,2007,11,1.35
Mud Creek: E 2170 Road,2008-01-30,105.0,7.5,1.0,0.08,0.1,0.1,35.0,2008,1,1.18
Mud Creek: E 2170 Road,2008-02-25,100.0,7.0,2.0,0.15,0.2,0.033,30.0,2008,2,2.35
Mud Creek: E 2170 Road,2008-03-31,83.0,7.0,1.0,0.08,0.2,0.12,15.0,2008,3,1.28
Mud Creek: E 2170 Road,2008-04-30,100.0,7.0,2.0,0.15,0.1,0.06,25.0,2008,4,2.25
Mud Creek: E 2170 Road,2008-05-20,96.0,7.0,1.0,0.15,0.1,0.047,20.0,2008,5,1.25
Mud Creek: E 2170 Road,2008-05-20,96.0,7.0,1.0,0.15,0.047,0.047,20.0,2008,5,1.2
Mud Creek: E 2170 Road,2008-09-26,78.0,6.75,5.0,0.08,0.1,0.29,40.0,2008,9,5.18
Mud Creek: E 2170 Road,2008-10-20,90.0,7.25,2.0,0.08,0.1,0.17,40.0,2008,10,2.18
Mud Creek: E 2170 Road,2008-11-13,73.0,7.0,5.0,0.15,0.8,0.26,45.0,2008,11,5.95
Mud Creek: E 2170 Road,2008-12-12,85.0,7.0,1.0,0.08,0.1,0.87,45.0,2008,12,1.18
Mud Creek: E 2170 Road,2009-01-15,91.0,7.4,3.0,0.35,0.55,0.433,30.0,2009,1,3.9
Mud Creek: E 2170 Road,2014-12-06,66.0,7.0,0.3,0.03,0.03,0.08,45.0,2014,12,0.36
Mud Creek: E 2170 Road,2015-01-31,71.0,7.3,1.0,0.03,0.03,0.04,40.0,2015,1,1.06
Mud Creek: E 2170 Road,2015-02-21,91.0,7.5,1.5,0.03,0.8,0.005,45.0,2015,2,2.33
Mud Creek: E 2170 Road,2015-03-28,80.0,7.0,1.0,0.03,0.1,0.005,25.0,2015,3,1.13
Mud Creek: E 2170 Road,2015-04-01,95.0,7.0,1.0,0.03,0.1,0.007,25.0,2015,4,1.13
Mud Creek: E 2170 Road,2015-05-30,85.0,7.5,2.0,0.03,0.03,0.047,25.0,2015,5,2.06
Mud Creek: E 2170 Road,2015-05-30,81.0,7.5,2.0,0.03,0.03,0.047,25.0,2015,5,2.06
Mud Creek: E 2170 Road,2015-06-27,90.0,7.0,1.0,0.03,0.03,0.047,25.0,2015,6,1.06
Mud Creek: E 2170 Road,2015-06-27,84.0,7.0,1.0,0.03,0.03,0.047,25.0,2015,6,1.06
Mud Creek: E 2170 Road,2015-09-05,63.0,7.0,10.0,0.03,0.03,0.666,80.0,2015,9,10.06
Mud Creek: E 2170 Road,2015-09-05,60.0,7.0,10.0,0.03,0.03,0.67,80.0,2015,9,10.06
Mud Creek: E 2170 Road,2015-10-05,51.0,7.0,10.0,0.03,0.03,0.1,90.0,2015,10,10.06
Mud Creek: E 2170 Road,2015-11-07,90.0,7.0,0.3,0.03,0.03,0.005,20.0,2015,11,0.36
Mud Creek: E 2170 Road,2015-12-12,87.0,7.0,2.0,0.03,0.03,0.146,30.0,2015,12,2.06
Mud Creek: E 2170 Road,2016-01-30,87.0,7.0,1.0,0.03,0.03,0.04,25.0,2016,1,1.06
Mud Creek: E 2170 Road,2018-12-19,112.0,7.25,0.3,0.03,0.03,0.067,15.0,2018,12,0.36
Mud Creek: E 2170 Road,2019-02-15,101.0,7.25,0.3,0.03,0.2,0.1,15.0,2019,2,0.53
Mud Creek: E 2170 Road,2019-10-07,105.0,7.25,2.0,0.15,0.03,,20.0,2019,10,2.18
Mud Creek: E 2170 Road,2019-11-03,98.0,7.25,2.0,0.03,0.03,,20.0,2019,11,2.06
Mud Creek: E 2170 Road,2020-01-18,95.0,7.0,0.3,0.03,0.03,0.067,15.0,2020,1,0.36
Mud Creek: E 2170 Road,2020-02-13,95.0,7.0,2.0,0.03,0.03,0.033,20.0,2020,2,2.06
Mustang Creek: Morgan Road,2005-08-02,76.0,7.75,0.5,0.03,0.03,0.12,45.0,2005,8,0.56
Mustang Creek: Morgan Road,2005-08-27,80.0,7.5,2.0,0.03,0.03,0.133,30.0,2005,8,2.06
Mustang Creek: Morgan Road,2006-09-21,,7.5,0.5,0.08,0.1,0.22,25.0,2006,9,0.68
Mustang Creek: Morgan Road,2006-10-26,45.0,7.75,0.5,0.08,0.1,0.047,40.0,2006,10,0.68
Mustang Creek: Morgan Road,2006-11-16,73.0,7.5,0.5,0.08,0.1,0.073,30.0,2006,11,0.68
Mustang Creek: Morgan Road,2007-07-14,95.0,7.5,0.5,0.08,0.1,0.067,35.0,2007,7,0.68
Mustang Creek: Morgan Road,2007-08-11,88.0,8.0,0.5,0.08,0.1,0.027,70.0,2007,8,0.68
Mustang Creek: Morgan Road,2007-09-15,109.0,8.0,0.5,0.08,0.1,0.053,50.0,2007,9,0.68
Mustang Creek: Morgan Road,2007-10-13,96.0,8.0,1.5,0.08,0.1,0.033,50.0,2007,10,1.68
Mustang Creek: Morgan Road,2007-11-23,108.0,8.1,1.1,0.08,0.1,0.067,50.0,2007,11,1.28
Mustang Creek: Morgan Road,2008-01-05,144.0,8.5,1.5,0.1,0.1,0.067,70.0,2008,1,1.7
Mustang Creek: Morgan Road,2008-05-03,132.0,8.0,1.0,0.1,0.1,0.053,60.0,2008,5,1.2
Mustang Creek: Morgan Road,2009-04-11,100.0,7.8,,,0.1,0.046666667,45.0,2009,4,0.43
Mustang Creek: Morgan Road,2009-07-29,91.0,7.8,0.5,,0.2,0.12,15.0,2009,7,0.73
Mustang Creek: Morgan Road,2009-12-01,120.0,8.0,1.0,,0.1,0.033333333,30.0,2009,12,1.13
Mustang Creek: Morgan Road,2012-09-22,56.0,7.4,,,0.25,0.173333333,30.0,2012,9,0.58
Mustang Creek: Morgan Road,2012-10-20,67.0,7.5,,,0.1,0.18,40.0,2012,10,0.43
Mustang Creek: Morgan Road,2012-11-17,51.0,7.4,,,0.1,,40.0,2012,11,0.43
Mustang Creek: Morgan Road,2012-12-15,96.0,7.8,,,0.1,0.026666667,55.0,2012,12,0.43
Mustang Creek: Morgan Road,2013-01-19,77.0,7.4,,0.08,0.1,0.093333333,35.0,2013,1,0.48
Mustang Creek: Morgan Road,2013-02-16,90.0,7.7,,,0.1,0.001333333,,2013,2,0.43
Mustang Creek: Morgan Road,2013-03-16,96.0,7.7,,,0.1,0.007,40.0,2013,3,0.43
Mustang Creek: Morgan Road,2013-04-20,115.0,7.8,,,0.1,0.007,30.0,2013,4,0.43
Mustang Creek: Morgan Road,2014-11-10,74.0,7.75,0.3,0.03,0.03,0.107,40.0,2014,11,0.36
Mustang Creek: Morgan Road,2015-02-09,146.0,8.0,0.3,0.03,0.03,0.06,45.0,2015,2,0.36
Mustang Creek: Morgan Road,2015-03-25,135.0,8.0,0.3,0.03,0.1,0.005,60.0,2015,3,0.43
Mustang Creek: Morgan Road,2015-08-31,126.0,7.8,0.3,0.03,0.03,0.073,45.0,2015,8,0.36
Mustang Creek: Morgan Road,2015-09-28,77.0,7.9,0.3,0.03,0.03,0.093,40.0,2015,9,0.36
Mustang Creek: Morgan Road,2015-11-02,77.0,7.5,0.3,0.03,0.03,0.133,30.0,2015,11,0.36
Mustang Creek: Morgan Road,2016-08-29,102.0,7.75,0.3,0.03,0.03,0.093,15.0,2016,8,0.36
Mustang Creek: Morgan Road,2016-10-03,130.0,7.75,0.3,0.03,0.5,0.083,45.0,2016,10,0.83
Mustang Creek: Morgan Road,2016-10-24,90.0,8.0,0.3,0.03,0.03,0.1,55.0,2016,10,0.36
Mustang Creek: Morgan Road,2016-11-28,91.0,8.0,0.3,0.03,0.03,0.533,60.0,2016,11,0.36
Mustang Creek: Morgan Road,2017-09-11,,8.0,0.3,0.03,0.03,0.033,45.0,2017,9,0.36
Mustang Creek: Morgan Road,2017-10-30,97.0,8.0,0.3,0.03,0.03,0.1,45.0,2017,10,0.36
Mustang Creek: Morgan Road,2017-11-27,115.0,8.0,0.3,0.03,0.03,0.033,50.0,2017,11,0.36
Mustang Creek: Morgan Road,2019-02-11,115.0,7.9,0.3,0.03,0.03,0.02,60.0,2019,2,0.36
Mustang Creek: Morgan Road,2019-03-18,116.0,7.7,0.6,0.03,0.03,0.053,55.0,2019,3,0.66
Mustang Creek: Morgan Road,2019-09-09,163.0,8.4,0.3,0.03,0.03,0.033,40.0,2019,9,0.36
Mustang Creek: Morgan Road,2019-11-18,90.0,7.8,0.3,0.03,0.03,0.107,55.0,2019,11,0.36
Mustang Creek: Morgan Road,2020-08-31,130.0,8.1,0.3,0.03,0.1,0.027,40.0,2020,8,0.43
Mustang Creek: Morgan Road,2020-09-28,110.0,7.9,0.3,0.03,0.1,0.033,35.0,2020,9,0.43
Nickel Creek: 91st Street,2005-01-30,76.0,8.0,0.04,,0.03,0.005,70.0,2005,1,0.1
Nickel Creek: 91st Street,2005-02-26,92.0,7.5,0.03,,0.2,0.06,55.0,2005,2,0.26
Nickel Creek: 91st Street,2005-03-26,98.0,8.0,0.05,,0.03,0.04,85.0,2005,3,0.11
Nickel Creek: 91st Street,2005-04-30,65.0,7.75,0.02,,0.03,0.027,120.0,2005,4,0.08
Nickel Creek: 91st Street,2005-05-26,70.0,7.5,0.12,,0.03,0.047,90.0,2005,5,0.18
Nickel Creek: 91st Street,2005-06-26,92.0,7.5,0.5,,0.03,0.033,50.0,2005,6,0.56
Nickel Creek: 91st Street,2005-07-30,60.0,8.0,0.3,,0.03,0.033,120.0,2005,7,0.36
Nickel Creek: 91st Street,2005-08-27,80.0,7.5,0.3,,0.2,0.1,45.0,2005,8,0.53
Nickel Creek: 91st Street,2005-09-24,35.0,7.5,0.3,0.03,0.03,0.047,60.0,2005,9,0.36
Nickel Creek: 91st Street,2005-11-04,70.0,7.5,0.25,0.03,0.03,0.033,90.0,2005,11,0.31
Nickel Creek: 91st Street,2005-11-26,33.0,7.75,0.3,0.03,0.03,0.005,120.0,2005,11,0.36
Nickel Creek: 91st Street,2005-12-24,80.0,8.0,0.3,0.03,0.03,0.033,95.0,2005,12,0.36
Nickel Creek: 91st Street,2006-02-08,90.0,8.0,0.5,0.03,0.03,0.005,180.0,2006,2,0.56
Nickel Creek: 91st Street,2007-09-15,100.0,7.5,0.5,0.15,0.1,0.063,80.0,2007,9,0.75
Nickel Creek: 91st Street,2007-10-13,97.0,7.5,0.5,0.08,0.1,0.007,75.0,2007,10,0.68
Nickel Creek: 91st Street,2007-11-17,82.0,7.5,0.5,0.08,0.1,0.007,140.0,2007,11,0.68
Nickel Creek: 91st Street,2007-12-15,100.0,7.5,0.5,0.08,0.1,0.013,55.0,2007,12,0.68
Nickel Creek: 91st Street,2008-01-19,,8.0,0.5,0.08,0.1,0.033,120.0,2008,1,0.68
Nickel Creek: 91st Street,2008-02-23,95.0,7.5,0.5,0.08,0.1,0.02,100.0,2008,2,0.68
Nickel Creek: 91st Street,2008-03-22,95.0,7.25,0.5,0.08,0.1,0.027,75.0,2008,3,0.68
Nickel Creek: 91st Street,2008-04-25,96.0,7.5,0.5,0.08,0.1,0.067,55.0,2008,4,0.68
Nickel Creek: 91st Street,2008-05-24,60.0,7.5,0.5,0.08,0.1,0.02,160.0,2008,5,0.68
Nickel Creek: 91st Street,2008-06-23,90.0,7.5,0.5,0.08,0.1,0.033,90.0,2008,6,0.68
Nickel Creek: 91st Street,2008-07-19,65.0,7.5,0.5,0.08,0.2,0.033,80.0,2008,7,0.78
Nickel Creek: 91st Street,2008-08-23,101.0,7.5,0.5,0.08,0.1,0.033,140.0,2008,8,0.68
Nickel Creek: 91st Street,2008-09-27,83.0,7.5,0.5,0.08,0.1,0.007,90.0,2008,9,0.68
Nickel Creek: 91st Street,2008-10-25,75.0,7.5,0.5,0.08,0.1,0.007,75.0,2008,10,0.68
Nickel Creek: 91st Street,2008-12-03,100.0,7.5,0.5,0.08,0.1,0.007,90.0,2008,12,0.68
Nickel Creek: 91st Street,2008-12-29,95.0,7.5,0.5,0.08,0.1,0.04,55.0,2008,12,0.68
Nickel Creek: 91st Street,2009-01-16,105.0,7.5,,,0.1,0.033333333,100.0,2009,1,0.43
Nickel Creek: 91st Street,2009-02-28,70.0,8.0,0.5,0.08,0.1,0.03,70.0,2009,2,0.68
Nickel Creek: 91st Street,2009-03-31,105.0,7.5,0.5,0.08,0.1,0.007,25.0,2009,3,0.68
Nickel Creek: 91st Street,2009-04-30,75.0,7.5,,,0.1,0.053333333,40.0,2009,4,0.43
Nickel Creek: 91st Street,2009-05-24,100.0,7.5,,,0.1,0.08,35.0,2009,5,0.43
Nickel Creek: 91st Street,2009-06-26,85.0,7.5,1.0,0.15,0.1,0.033333333,95.0,2009,6,1.25
Nickel Creek: 91st Street,2009-07-28,64.0,7.5,,,0.2,0.026666667,40.0,2009,7,0.53
Nickel Creek: 91st Street,2009-08-15,77.0,7.5,1.0,,0.1,0.046666667,40.0,2009,8,1.13
Nickel Creek: 91st Street,2009-09-17,60.0,7.5,1.0,0.15,0.2,0.053333333,45.0,2009,9,1.35
Nickel Creek: 91st Street,2009-10-24,96.0,7.5,0.5,0.08,0.1,0.1,35.0,2009,10,0.68
Nickel Creek: 91st Street,2009-11-15,80.0,7.5,0.5,,0.1,0.007,80.0,2009,11,0.63
Nickel Creek: 91st Street,2009-12-13,76.0,7.5,1.0,0.15,0.1,0.033333333,80.0,2009,12,1.25
Nickel Creek: 91st Street,2010-01-17,98.0,7.5,0.5,,0.1,0.007,80.0,2010,1,0.63
Nickel Creek: 91st Street,2010-02-27,85.0,7.5,1.0,0.15,0.1,0.013333333,60.0,2010,2,1.25
Nickel Creek: 91st Street,2010-03-27,96.0,7.5,,,0.1,0.007,40.0,2010,3,0.43
Nickel Creek: 91st Street,2010-04-24,75.0,7.7,,,0.1,0.033333333,100.0,2010,4,0.43
Nickel Creek: 91st Street,2010-05-23,63.0,7.5,1.0,0.15,0.2,0.1,85.0,2010,5,1.35
Nickel Creek: 91st Street,2010-06-27,55.0,7.5,,,0.1,0.033333333,160.0,2010,6,0.43
Nickel Creek: 91st Street,2010-07-31,82.0,7.5,,,0.1,0.013333333,120.0,2010,7,0.43
Nickel Creek: 91st Street,2010-08-29,90.0,7.5,,,0.2,0.007,25.0,2010,8,0.53
Nickel Creek: 91st Street,2010-09-30,90.0,8.0,1.0,0.15,0.1,0.007,55.0,2010,9,1.25
Nickel Creek: 91st Street,2010-10-30,39.0,7.5,,,0.1,0.033333333,55.0,2010,10,0.43
Nickel Creek: 91st Street,2010-11-20,70.0,7.5,0.5,1.0,0.1,0.013333333,45.0,2010,11,1.6
Nickel Creek: 91st Street,2010-12-30,94.0,7.8,1.0,,0.2,0.033333333,70.0,2010,12,1.23
Nickel Creek: 91st Street,2011-01-25,81.0,7.8,,,0.1,0.046666667,60.0,2011,1,0.43
Nickel Creek: 91st Street,2011-02-26,76.0,8.0,,,0.1,0.033333333,60.0,2011,2,0.43
Nickel Creek: 91st Street,2011-03-31,115.0,8.0,,,0.1,0.013333333,30.0,2011,3,0.43
Nickel Creek: 91st Street,2011-05-24,64.0,7.5,1.0,0.15,0.2,0.033333333,45.0,2011,5,1.35
Nickel Creek: 91st Street,2011-07-01,95.0,8.0,,,0.1,0.066666667,75.0,2011,7,0.43
Nickel Creek: 91st Street,2011-08-27,28.0,7.5,,,0.1,0.026666667,60.0,2011,8,0.43
Nickel Creek: 91st Street,2011-09-25,70.0,7.5,,,0.1,0.086666667,20.0,2011,9,0.43
Nickel Creek: 91st Street,2011-10-31,41.0,7.5,1.0,,0.1,0.033333333,55.0,2011,10,1.13
Nickel Creek: 91st Street,2011-12-18,100.0,8.0,1.0,0.15,0.1,0.007,75.0,2011,12,1.25
Nickel Creek: 91st Street,2012-02-02,80.0,8.0,,,0.1,0.02,80.0,2012,2,0.43
Nickel Creek: 91st Street,2012-03-31,36.0,8.0,1.0,1.0,0.1,0.066666667,80.0,2012,3,2.1
Nickel Creek: 91st Street,2012-04-29,61.0,7.5,,,0.1,0.026666667,100.0,2012,4,0.43
Nickel Creek: 91st Street,2013-02-02,89.0,8.0,3.0,,,,60.0,2013,2,3.06
Nickel Creek: 91st Street,2013-03-16,101.0,7.8,,,0.1,0.007,360.0,2013,3,0.43
Nickel Creek: 91st Street,2013-04-21,,7.8,,,0.1,0.007,,2013,4,0.43
Nickel Creek: 91st Street,2013-06-02,61.0,7.5,,,0.2,0.007,55.0,2013,6,0.53
Nickel Creek: 91st Street,2013-06-23,78.0,7.5,0.3,0.03,0.03,0.005,80.0,2013,6,0.36
Nickel Creek: 91st Street,2013-07-27,64.0,7.5,1.0,0.03,0.03,0.005,30.0,2013,7,1.06
Nickel Creek: 91st Street,2013-08-24,64.0,7.5,0.3,0.03,0.03,0.005,55.0,2013,8,0.36
Nickel Creek: 91st Street,2013-09-21,70.0,7.5,0.5,,0.1,0.007,85.0,2013,9,0.63
Nickel Creek: 91st Street,2013-10-27,78.0,7.5,2.0,,0.1,0.007,40.0,2013,10,2.13
Nickel Creek: 91st Street,2013-11-23,96.0,7.5,2.0,,0.1,0.007,25.0,2013,11,2.13
Nickel Creek: 91st Street,2014-01-26,101.0,7.75,0.3,1.0,0.4,0.005,25.0,2014,1,1.7
Nickel Creek: 91st Street,2014-02-23,110.0,7.5,0.3,0.03,0.4,0.005,25.0,2014,2,0.73
Nickel Creek: 91st Street,2014-04-12,113.0,7.4,0.3,0.03,0.03,0.005,40.0,2014,4,0.36
Nickel Creek: 91st Street,2014-07-06,100.0,7.8,0.3,0.03,0.03,0.005,20.0,2014,7,0.36
Nickel Creek: 91st Street,2014-08-03,103.0,7.5,0.3,0.03,0.03,0.005,25.0,2014,8,0.36
Nickel Creek: 91st Street,2014-09-07,95.0,7.5,1.0,0.03,0.03,0.005,15.0,2014,9,1.06
Nickel Creek: 91st Street,2014-10-05,105.0,8.0,1.0,0.03,0.03,0.005,15.0,2014,10,1.06
Nickel Creek: 91st Street,2014-11-02,106.0,7.8,1.0,0.03,0.03,0.005,20.0,2014,11,1.06
Nickel Creek: 91st Street,2014-11-30,100.0,8.0,2.0,0.03,0.2,0.005,30.0,2014,11,2.23
Nickel Creek: 91st Street,2014-12-21,91.0,7.6,2.0,0.03,0.2,0.005,50.0,2014,12,2.23
Nickel Creek: 91st Street,2015-02-22,101.0,7.5,2.0,0.03,0.4,0.005,30.0,2015,2,2.43
Nickel Creek: 91st Street,2015-03-08,101.0,7.7,0.3,0.03,0.3,0.005,50.0,2015,3,0.63
Nickel Creek: 91st Street,2015-04-11,84.0,7.7,0.3,0.03,0.03,0.005,45.0,2015,4,0.36
Nickel Creek: 91st Street,2015-04-21,99.0,7.75,0.3,0.03,0.03,0.005,65.0,2015,4,0.36
Nickel Creek: 91st Street,2015-05-27,79.0,7.5,0.3,0.03,0.2,0.046,55.0,2015,5,0.53
Nickel Creek: 91st Street,2015-06-25,103.0,7.5,0.3,0.03,0.03,0.005,55.0,2015,6,0.36
Nickel Creek: 91st Street,2015-07-29,79.0,7.5,0.3,0.03,,0.02,45.0,2015,7,0.36
Nickel Creek: 91st Street,2015-08-18,89.0,7.5,0.3,0.03,0.03,0.005,30.0,2015,8,0.36
Nickel Creek: 91st Street,2015-09-28,96.0,7.5,0.3,0.03,0.03,0.005,25.0,2015,9,0.36
Nickel Creek: 91st Street,2015-10-26,90.0,7.5,0.3,0.03,0.03,0.007,25.0,2015,10,0.36
Nickel Creek: 91st Street,2015-11-24,84.0,7.5,0.3,0.03,0.03,0.007,45.0,2015,11,0.36
Nickel Creek: 91st Street,2015-12-15,88.0,7.5,0.3,0.03,0.2,0.005,50.0,2015,12,0.53
Nickel Creek: 91st Street,2016-01-26,63.0,7.5,0.3,0.03,0.4,0.005,55.0,2016,1,0.73
Nickel Creek: 91st Street,2016-02-29,93.0,7.5,0.3,0.03,0.03,0.005,60.0,2016,2,0.36
Nickel Creek: 91st Street,2016-03-29,115.0,7.5,0.3,0.03,,0.005,60.0,2016,3,0.36
Nickel Creek: 91st Street,2016-04-28,67.0,7.5,0.3,0.03,0.03,0.027,50.0,2016,4,0.36
Nickel Creek: 91st Street,2016-06-23,71.0,7.5,1.0,1.0,0.03,0.005,35.0,2016,6,2.03
Nickel Creek: 91st Street,2016-08-17,71.0,7.5,1.0,0.03,0.03,,70.0,2016,8,1.06
Nickel Creek: 91st Street,2016-09-20,89.0,7.5,1.0,0.03,0.03,0.005,30.0,2016,9,1.06
Nickel Creek: 91st Street,2016-10-31,87.0,7.5,0.3,0.03,0.03,0.04,30.0,2016,10,0.36
Nickel Creek: 91st Street,2016-11-29,90.0,7.5,0.3,0.03,0.03,0.005,25.0,2016,11,0.36
Nickel Creek: 91st Street,2016-12-29,110.0,7.5,0.3,0.03,0.2,0.02,30.0,2016,12,0.53
Nickel Creek: 91st Street,2017-01-27,90.0,7.5,0.3,0.03,0.2,0.027,30.0,2017,1,0.53
Nickel Creek: 91st Street,2017-02-13,96.0,7.5,0.3,0.03,0.03,0.007,30.0,2017,2,0.36
Nickel Creek: 91st Street,2017-03-30,67.0,7.5,0.3,0.03,0.03,0.013,45.0,2017,3,0.36
Nickel Creek: 91st Street,2017-04-28,99.0,7.5,0.3,0.03,0.2,,45.0,2017,4,0.53
Nickel Creek: 91st Street,2017-05-31,,7.5,0.3,0.03,0.03,0.013,40.0,2017,5,0.36
Nickel Creek: 91st Street,2017-06-15,72.0,7.5,1.0,0.03,0.03,0.013,25.0,2017,6,1.06
Nickel Creek: 91st Street,2017-07-28,90.0,7.5,0.3,0.03,0.03,0.02,30.0,2017,7,0.36
Nickel Creek: 91st Street,2017-08-30,105.0,7.5,0.3,0.03,0.1,0.02,30.0,2017,8,0.43
Nickel Creek: 91st Street,2017-09-25,72.0,7.5,2.0,0.03,0.03,0.02,20.0,2017,9,2.06
Nickel Creek: 91st Street,2017-10-26,18.0,7.5,2.0,0.15,0.03,0.033,35.0,2017,10,2.18
Nickel Creek: 91st Street,2017-11-28,85.0,7.5,0.3,0.03,0.03,0.013,25.0,2017,11,0.36
Nickel Creek: 91st Street,2017-12-28,92.0,7.5,0.3,0.03,0.2,0.013,30.0,2017,12,0.53
Nickel Creek: 91st Street,2018-01-31,,,,,,,,2018,1,0.36
Nickel Creek: 91st Street,2018-02-13,110.0,7.5,0.3,0.03,0.2,0.02,30.0,2018,2,0.53
Nickel Creek: 91st Street,2018-04-18,76.0,7.5,1.0,0.15,0.1,0.013,,2018,4,1.25
Nickel Creek: 91st Street,2018-06-21,112.0,7.5,0.3,0.03,0.2,0.007,30.0,2018,6,0.53
Nickel Creek: 91st Street,2018-08-29,105.0,7.5,0.3,0.03,0.03,0.005,35.0,2018,8,0.36
Nickel Creek: 91st Street,2018-09-26,58.0,7.5,0.3,0.03,0.03,0.013,35.0,2018,9,0.36
Nickel Creek: 91st Street,2018-11-29,96.0,7.5,0.3,0.03,0.03,0.013,35.0,2018,11,0.36
Nickel Creek: 91st Street,2019-02-22,90.0,7.5,0.3,0.03,0.1,0.013,60.0,2019,2,0.43
Nickel Creek: 91st Street,2019-04-29,76.0,7.5,0.3,0.15,0.2,0.033,45.0,2019,4,0.65
Nickel Creek: 91st Street,2019-06-26,145.0,7.5,0.3,0.15,0.1,0.1,50.0,2019,6,0.55
Nickel Creek: 91st Street,2019-08-22,65.0,7.5,0.3,0.03,0.03,0.027,25.0,2019,8,0.36
Nickel Creek: 91st Street,2019-11-18,101.0,7.5,0.3,0.2,0.03,0.005,40.0,2019,11,0.53
Nickel Creek: 91st Street,2019-12-30,80.0,7.5,0.3,0.03,0.03,0.005,45.0,2019,12,0.36
Nickel Creek: 91st Street,2020-07-30,103.0,7.5,2.0,0.03,0.03,0.027,55.0,2020,7,2.06
Nickel Creek: 91st Street,2020-08-29,82.0,7.3,0.3,0.03,0.03,0.02,40.0,2020,8,0.36
Nickel Creek: 91st Street,2020-09-27,83.0,7.4,0.2,0.03,0.03,0.033,40.0,2020,9,0.26
"North Canadian River: Lake Road, Shawnee",2005-01-28,106.0,8.0,0.4,,0.1,0.1,180.0,2005,1,0.53
"North Canadian River: Lake Road, Shawnee",2005-04-26,85.0,7.5,0.01,,0.2,0.2,100.0,2005,4,0.24
"North Canadian River: Lake Road, Shawnee",2005-05-26,80.0,7.5,0.3,,0.2,0.2,90.0,2005,5,0.53
"North Canadian River: Lake Road, Shawnee",2005-06-29,100.0,7.5,0.01,,0.2,0.22,95.0,2005,6,0.24
"North Canadian River: Lake Road, Shawnee",2005-08-20,100.0,7.5,2.0,,0.03,0.067,25.0,2005,8,2.06
"North Canadian River: Lake Road, Shawnee",2005-09-22,92.0,7.5,2.0,0.03,0.3,0.013,30.0,2005,9,2.33
